place_name,state,direction,place_type,location_link
Charminar,Telangana,South,Historical Monument,https://maps.app.goo.gl/b8g2F8C2fesa1wa87
Golconda Fort,Telangana,West,Historical Monument,https://www.google.com/golconda-fort
Ramoji Film City,Telangana,East,Tourist Attraction,https://www.google.com/ramoji-film-city
Warangal Fort,Telangana,North,Historical Monument,https://www.google.com/warangal-fort
Nagarjuna Sagar Dam,Telangana,Southwest,Dam,https://www.google.com/nagarjuna-sagar-dam
Bhadrachalam Temple,Telangana,Southeast,Religious Place,https://www.google.com/bhadrachalam-temple
Kuntala Falls,Telangana,Northeast,Natural Attraction,https://www.google.com/kuntala-falls
Yadagirigutta Temple,Telangana,Northwest,Religious Place,https://www.google.com/yadagirigutta-temple
Basara,Telangana,South,Religious Site,https://www.example.com/basara
Saraswati Temple,Telangana,Northeast,Religious Place,https://www.google.com/basara-saraswati-temple
Anantagiri Hills,Telangana,Northwest,Natural Attraction,https://www.google.com/anantagiri-hills
Ramappa Temple,Telangana,Southwest,Religious Place,https://www.google.com/ramappa-temple
Medak Fort,Telangana,North,Historical Monument,https://www.google.com/medak-fort
Hussain Sagar Lake,Telangana,Central,Lake,https://www.google.com/hussain-sagar-lake
Nehru Zoological Park,Telangana,Central,Zoo,https://www.google.com/nehru-zoological-park
Shilparamam,Telangana,Central,Art and Craft Village,https://www.google.com/shilparamam
Salar Jung Museum,Telangana,Central,Art Museum,https://www.google.com/salar-jung-museum
Chowmahalla Palace,Telangana,Central,Palace,https://www.google.com/chowmahalla-palace
Falaknuma Palace,Telangana,Central,Palace,https://www.google.com/falaknuma-palace
Purana Pul,Telangana,Central,Bridge,https://www.google.com/purana-pul
Lumbini Park,Telangana,Central,Park,https://www.example.com/lumbini-park
Mecca Masjid,Telangana,Central,Religious Place,https://www.example.com/mecca-masjid
Birla Mandir,Telangana,Central,Religious Place,https://www.example.com/birla-mandir
Chilkur Balaji Temple,Telangana,South,Religious Place,https://www.example.com/chilkur-balaji-temple
Papikondalu National Park,Andhra Pradesh,East,National Park,https://www.example.com/papikondalu-national-park
Tirumala Venkateswara Temple,Andhra Pradesh,South,Religious Place,https://www.example.com/tirumala-venkateswara-temple
Lepakshi,Andhra Pradesh,West,Historical Monument,https://www.example.com/lepakshi
Borra Caves,Andhra Pradesh,East,Cave,https://www.example.com/borra-caves
Araku Valley,Andhra Pradesh,North,Natural Attraction,https://www.example.com/araku-valley
Srisailam Temple,Andhra Pradesh,South,Religious Place,https://www.example.com/srisailam-temple
Belum Caves,Andhra Pradesh,West,Cave,https://www.example.com/belum-caves
Kondapalli Fort,Andhra Pradesh,North,Historical Monument,https://www.example.com/kondapalli-fort
Amaravathi,Andhra Pradesh,North,Historical Site,https://www.example.com/amaravathi
Nagarjuna Sagar Dam,Andhra Pradesh,Southwest,Dam,https://www.example.com/nagarjuna-sagar-dam
Vizag Beaches,Andhra Pradesh,East,Beach,https://www.example.com/vizag-beaches
Ranganathaswamy Temple,Andhra Pradesh,South,Religious Place,https://www.example.com/ranganathaswamy-temple
Undavalli Caves,Andhra Pradesh,East,Cave,https://www.example.com/undavalli-caves
Horsley Hills,Andhra Pradesh,South,Natural Attraction,https://www.example.com/horsley-hills
Kailasagiri,Andhra Pradesh,East,Hill Station,https://www.example.com/kailasagiri
Submarine Museum,Andhra Pradesh,East,Museum,https://www.example.com/submarine-museum
Talakona Waterfalls,Andhra Pradesh,South,Natural Attraction,https://www.example.com/talakona-waterfalls
Gandikota Fort,Andhra Pradesh,Southwest,Historical Monument,https://www.example.com/gandikota-fort
Tuting,Arunachal Pradesh,Northeast,Town,https://www.example.com/tuting
Parshuram Kund,Arunachal Pradesh,Northeast,Pilgrimage Site,https://www.example.com/parshuram-kund
Tawang Monastery,Arunachal Pradesh,Northeast,Monastery,https://www.example.com/tawang-monastery
Sela Pass,Arunachal Pradesh,Northeast,Mountain Pass,https://www.example.com/sela-pass
Nuranang Falls,Arunachal Pradesh,Northeast,Natural Attraction,https://www.example.com/nuranang-falls
Tawang War Memorial,Arunachal Pradesh,Northeast,War Memorial,https://www.example.com/tawang-war-memorial
Bomdila,Arunachal Pradesh,Northeast,Town,https://www.example.com/bomdila
Dirang,Arunachal Pradesh,Northeast,Town,https://www.example.com/dirang
Ziro Valley,Arunachal Pradesh,Northeast,Valley,https://www.example.com/ziro-valley
Namdapha National Park,Arunachal Pradesh,Northeast,National Park,https://www.example.com/namdapha-national-park
Sambor Wildlife Sanctuary,Assam,Northeast,Wildlife Sanctuary,https://www.example.com/sambor-wildlife-sanctuary
Mechuka Valley,Arunachal Pradesh,Northeast,Valley,https://www.example.com/mechuka-valley
Dipor Bil,Assam,Northeast,Lake,https://www.example.com/dipor-bil
Umananda Island,Assam,Northeast,Island,https://www.example.com/umananda-island
Kamakhya Temple,Assam,Northeast,Religious Place,https://www.example.com/kamakhya-temple
Kaziranga National Park,Assam,Northeast,National Park,https://www.example.com/kaziranga-national-park
Manas National Park,Assam,Northeast,National Park,https://www.example.com/manas-national-park
Majuli Island,Assam,Northeast,Island,https://www.example.com/majuli-island
Hoollongapar Gibbon Wildlife Sanctuary,Assam,Northeast,Wildlife Sanctuary,https://www.example.com/hoollongapar-gibbon-wildlife-sanctuary
Kakochang Waterfalls,Assam,Northeast,Natural Attraction,https://www.example.com/kakochang-waterfalls
Tocklai Tea Research Centre,Assam,Northeast,Research Center,https://www.example.com/tocklai-tea-research-centre
Assam State Zoo and Botanical Garden,Assam,Northeast,Zoo and Botanical Garden,https://www.example.com/assam-state-zoo-and-botanical-garden
Pobitora Wildlife Sanctuary,Assam,Northeast,Wildlife Sanctuary,https://www.example.com/pobitora-wildlife-sanctuary
Orang National Park,Assam,Northeast,National Park,https://www.example.com/orang-national-park
Valmiki National Park,Bihar,East,National Park,https://www.example.com/valmiki-national-park
Rohtas Fort,Bihar,East,Historical Monument,https://www.example.com/rohtas-fort
Mahabodhi Temple,Bihar,East,Religious Site,https://www.example.com/mahabodhi-temple
Bodh Gaya,Bihar,East,Religious Place,https://www.example.com/mahabodhi-temple-bodh-gaya
Rajgir,Bihar,East,Historical Site,https://www.example.com/rajgir
Nalanda,Bihar,East,Historical Site,https://www.example.com/nalanda
Vaishali,Bihar,East,Historical Site,https://www.example.com/vaishali
Patna,Bihar,East,City,https://www.example.com/patna
Vikramshila University,Bihar,East,Historical Site,https://www.example.com/vikramshila-university
Maner Sharif,Bihar,East,Religious Place,https://www.example.com/maner-sharif
Pawapuri,Bihar,East,Religious Place,https://www.example.com/pawapuri
Kundeshwari Temple,Bihar,East,Religious Place,https://www.example.com/kundeshwari-temple
Kakolat Falls,Bihar,East,Natural Attraction,https://www.example.com/kakolat-falls
Indravati National Park,Chhattisgarh,Central,National Park,https://www.example.com/indravati-national-park
Purkhouti Muktangan,Chhattisgarh,Central,Museum and Park,https://www.example.com/purkhouti-muktangan
Chitrakote Waterfalls,Chhattisgarh,Central,Natural Attraction,https://www.example.com/chitrakote-waterfalls
Kotumsar Cave,Chhattisgarh,Central,Cave,https://www.example.com/kotumsar-cave
Ghatarani Waterfall,Chhattisgarh,Central,Natural Attraction,https://www.example.com/ghatarani-waterfall
Se Cathedral,Goa,West,Religious Place,https://www.example.com/se-cathedral
Basilica of Bom Jesus,Goa,West,Religious Place,https://www.example.com/basilica-of-bom-jesus
Baga Beach,Goa,West,Beach,https://www.example.com/baga-beach
Calangute Beach,Goa,West,Beach,https://www.example.com/calangute-beach
Anjuna Beach,Goa,West,Beach,https://www.example.com/anjuna-beach
Vagator Beach,Goa,West,Beach,https://www.example.com/vagator-beach
Candolim Beach,Goa,West,Beach,https://www.example.com/candolim-beach
Cavelossim Beach,Goa,West,Beach,https://www.example.com/cavelossim-beach
Palolem Beach,Goa,West,Beach,https://www.example.com/palolem-beach
Agonda Beach,Goa,West,Beach,https://www.example.com/agonda-beach
Dudhsagar Falls,Goa,West,Waterfall,https://www.example.com/dudhsagar-falls
Fort Aguada,Goa,West,Historical Monument,https://www.example.com/fort-aguada
Vadodara,Gujarat,West,City,https://www.example.com/vadodara
Surat,Gujarat,West,City,https://www.example.com/surat
Gir National Park,Gujarat,West,National Park,https://www.example.com/gir-national-park
Rann of Kutch,Gujarat,West,Desert,https://www.example.com/rann-of-kutch
Statue of Unity,Gujarat,West,Statue,https://www.example.com/statue-of-unity
Somnath Temple,Gujarat,West,Religious Place,https://www.example.com/somnath-temple
Dwarka,Gujarat,West,Religious Place,https://www.example.com/dwarka
Champaner-Pavagadh Archaeological Park,Gujarat,West,Archaeological Park,https://www.example.com/champaner-pavagadh-archaeological-park
Ahmedabad,Gujarat,West,City,https://www.example.com/ahmedabad
Lothal,Gujarat,West,Archaeological Site,https://www.example.com/lothal
Patan,Gujarat,West,City,https://www.example.com/patan
Jhajjar,Haryana,North,Town,https://www.example.com/jhajjar
Bhiwani,Haryana,North,Town,https://www.example.com/bhiwani
Sultanpur National Park,Haryana,North,National Park,https://www.example.com/sultanpur-national-park
Pinjore Gardens,Haryana,North,Gardens,https://www.example.com/pinjore-gardens
Morni Hills,Haryana,North,Hill Station,https://www.example.com/morni-hills
Panchkula,Haryana,North,City,https://www.example.com/panchkula
Ambala,Haryana,North,City,https://www.example.com/ambala
Kurukshetra,Haryana,North,City,https://www.example.com/kurukshetra
Karnal,Haryana,North,City,https://www.example.com/karnal
Hisar,Haryana,North,City,https://www.example.com/hisar
Rohtak,Haryana,North,City,https://www.example.com/rohtak
Chamba,Himachal Pradesh,North,Hill Station,https://www.example.com/chamba
Sangla,Himachal Pradesh,North,Town,https://www.example.com/sangla
Manali,Himachal Pradesh,North,Hill Station,https://www.example.com/manali
Shimla,Himachal Pradesh,North,Hill Station,https://www.example.com/shimla
Dharamshala,Himachal Pradesh,North,Hill Station,https://www.example.com/dharamshala
Dalhousie,Himachal Pradesh,North,Hill Station,https://www.example.com/dalhousie
Kasauli,Himachal Pradesh,North,Hill Station,https://www.example.com/kasauli
Khajjiar,Himachal Pradesh,North,Hill Station,https://www.example.com/khajjiar
Bir Billing,Himachal Pradesh,North,Adventure Destination,https://www.example.com/bir-billing
Malana,Himachal Pradesh,North,Village,https://www.example.com/malana
Spiti Valley,Himachal Pradesh,North,Valley,https://www.example.com/spiti-valley
Tirthan Valley,Himachal Pradesh,North,Valley,https://www.example.com/tirthan-valley
Zanskar Valley,Ladakh,North,Valley,https://www.example.com/zanskar-valley
Nubra Valley,Ladakh,North,Valley,https://www.example.com/nubra-valley
Srinagar,Jammu and Kashmir,North,City,https://www.example.com/srinagar
Gulmarg,Jammu and Kashmir,North,Hill Station,https://www.example.com/gulmarg
Pahalgam,Jammu and Kashmir,North,Hill Station,https://www.example.com/pahalgam
Sonamarg,Jammu and Kashmir,North,Hill Station,https://www.example.com/sonamarg
Yusmarg,Jammu and Kashmir,North,Hill Station,https://www.example.com/yusmarg
Patnitop,Jammu and Kashmir,North,Hill Station,https://www.example.com/patnitop
Katra,Jammu and Kashmir,North,Town,https://www.example.com/katra
Bhaderwah,Jammu and Kashmir,North,Town,https://www.example.com/bhaderwah
Kishtwar,Jammu and Kashmir,North,Town,https://www.example.com/kishtwar
Leh,Ladakh,North,Town,https://www.example.com/leh
Bokaro Steel City,Jharkhand,East,City,https://www.example.com/bokaro-steel-city
Jamshedpur,Jharkhand,East,City,https://www.example.com/jamshedpur
Deoghar,Jharkhand,East,Town,https://www.example.com/deoghar
Netarhat,Jharkhand,East,Hill Station,https://www.example.com/netarhat
Betla National Park,Jharkhand,East,National Park,https://www.example.com/betla-national-park
Jharkhand Tribal Museum,Jharkhand,East,Museum,https://www.example.com/jharkhand-tribal-museum
Rock Garden,Jharkhand,East,Garden,https://www.example.com/rock-garden
Dassam Falls,Jharkhand,East,Waterfall,https://www.example.com/dassam-falls
Jonha Falls,Jharkhand,East,Waterfall,https://www.example.com/jonha-falls
Patratu Valley,Jharkhand,East,Valley,https://www.example.com/patratu-valley
Hazaribagh,Jharkhand,East,Town,https://www.example.com/hazaribagh
Giridih,Jharkhand,East,Town,https://www.example.com/giridih
Murudeshwar,Karnataka,South,Town,https://www.example.com/murudeshwar
Chikmagalur,Karnataka,South,Hill Station,https://www.example.com/chikmagalur
Hampi,Karnataka,South,Historical Site,https://www.example.com/hampi
Mysore,Karnataka,South,City,https://www.example.com/mysore
Coorg,Karnataka,South,Hill Station,https://www.example.com/coorg
Jog Falls,Karnataka,South,Waterfall,https://www.example.com/jog-falls
Badami,Karnataka,South,Historical Site,https://www.example.com/badami
Pattadakal,Karnataka,South,Historical Site,https://www.example.com/pattadakal
Bijapur,Karnataka,South,City,https://www.example.com/bijapur
Aihole,Karnataka,South,Historical Site,https://www.example.com/aihole
Gokarna,Karnataka,South,Beach Town,https://www.example.com/gokarna
Udupi,Karnataka,South,Town,https://www.example.com/udupi
Hastinapur,Uttar Pradesh,North,Historical Site,https://www.example.com/hastinapur
Agra,Uttar Pradesh,North,City,https://www.example.com/agra
Varanasi,Uttar Pradesh,North,City,https://www.example.com/varanasi
Sravasti,Uttar Pradesh,North,Religious Site,https://www.example.com/sravasti
Mathura,Uttar Pradesh,North,City,https://www.example.com/mathura
Ayodhya,Uttar Pradesh,North,Religious Site,https://www.example.com/ayodhya
Lucknow,Uttar Pradesh,North,City,https://www.example.com/lucknow
Kanpur,Uttar Pradesh,North,City,https://www.example.com/kanpur
Allahabad,Uttar Pradesh,North,City,https://www.example.com/allahabad
Meerut,Uttar Pradesh,North,City,https://www.example.com/meerut
Bareilly,Uttar Pradesh,North,City,https://www.example.com/bareilly
Gorakhpur,Uttar Pradesh,North,City,https://www.example.com/gorakhpur
Aligarh,Uttar Pradesh,North,City,https://www.example.com/aligarh
Jhansi,Uttar Pradesh,North,City,https://www.example.com/jhansi
Mathura Vrindavan,Uttar Pradesh,North,City,https://www.example.com/mathura-vrindavan
Sarnath,Uttar Pradesh,North,Religious Site,https://www.example.com/sarnath
Kushinagar,Uttar Pradesh,North,Religious Site,https://www.example.com/kushinagar
Haridwar,Uttarakhand,North,City,https://www.example.com/haridwar
Rishikesh,Uttarakhand,North,City,https://www.example.com/rishikesh
Kedarnath,Uttarakhand,North,Religious Site,https://www.example.com/kedarnath
Badrinath,Uttarakhand,North,Religious Site,https://www.example.com/badrinath
Gangotri,Uttarakhand,North,Religious Site,https://www.example.com/gangotri
Yamunotri,Uttarakhand,North,Religious Site,https://www.example.com/yamunotri
Valley of Flowers,Uttarakhand,North,National Park,https://www.example.com/valley-of-flowers
Nainital,Uttarakhand,North,Hill Station,https://www.example.com/nainital
Mussoorie,Uttarakhand,North,Hill Station,https://www.example.com/mussoorie
Auli,Uttarakhand,North,Hill Station,https://www.example.com/auli
Kolkata,West Bengal,East,City,https://www.example.com/kolkata
Kharaghpur,West Bengal,East,City,https://www.example.com/kharaghpur
Digha,West Bengal,East,Beach Town,https://www.example.com/digha
Darjeeling,West Bengal,East,Hill Station,https://www.example.com/darjeeling
Sundarbans,West Bengal,East,National Park,https://www.example.com/sundarbans
Mirik,West Bengal,East,Hill Station,https://www.example.com/mirik
Shantiniketan,West Bengal,East,Town,https://www.example.com/shantiniketan
Murshidabad,West Bengal,East,Historical Site,https://www.example.com/murshidabad
Mandarmani,West Bengal,East,Beach Town,https://www.example.com/mandarmani
Bishnupur,West Bengal,East,Town,https://www.example.com/bishnupur
Kalimpong,West Bengal,East,Hill Station,https://www.example.com/kalimpong
Kurseong,West Bengal,East,Hill Station,https://www.example.com/kurseong
Siliguri,West Bengal,East,City,https://www.example.com/siliguri
